sample_id,image_path,annotation_path,sam_mask_path,annotation_ratio,sam_ratio,iou,dice,model_iou_score
131_94_TZTXTHIXHM_1_4_33_A_MBed_114.152502_22.27992_199.71_47.326241,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/131_94_TZTXTHIXHM_1_4_33_A_MBed_114.152502_22.27992_199.71_47.326241.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/131_94_TZTXTHIXHM_1_4_33_A_MBed_114.152502_22.27992_199.71_47.326241.png,research/outputs/restoration/sam_p0/00_131_94_TZTXTHIXHM_1_4_33_A_MBed_114.152502_22.27992_199.71_47.326241/sam_mask.png,0.0,0.006395061728395062,0.0,0.0,-0.03318075090646744
141_15_SKEYPPEAPE_1_6_11_A_Bed_2_114.148387_22.280512_178.3541_26.803866,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/141_15_SKEYPPEAPE_1_6_11_A_Bed_2_114.148387_22.280512_178.3541_26.803866.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/141_15_SKEYPPEAPE_1_6_11_A_Bed_2_114.148387_22.280512_178.3541_26.803866.png,research/outputs/restoration/sam_p0/01_141_15_SKEYPPEAPE_1_6_11_A_Bed_2_114.148387_22.280512_178.3541_26.803866/sam_mask.png,0.3542888888888889,0.4064679012345679,0.8681839403843006,0.9294416054189055,0.004487248137593269
325_35_SKPPWSPEPE_9_43_34_A_Utility_114.146891_22.281514_276.0063_133.53721,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/325_35_SKPPWSPEPE_9_43_34_A_Utility_114.146891_22.281514_276.0063_133.53721.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/325_35_SKPPWSPEPE_9_43_34_A_Utility_114.146891_22.281514_276.0063_133.53721.png,research/outputs/restoration/sam_p0/02_325_35_SKPPWSPEPE_9_43_34_A_Utility_114.146891_22.281514_276.0063_133.53721/sam_mask.png,0.677620987654321,0.7063135802469136,0.9593769773157098,0.9792673777662007,0.01586879789829254
124_85_TZSITHMXHM_1_11_5_2_Bed_1_114.152023_22.27867_167.35_37.628964,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/124_85_TZSITHMXHM_1_11_5_2_Bed_1_114.152023_22.27867_167.35_37.628964.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/124_85_TZSITHMXHM_1_11_5_2_Bed_1_114.152023_22.27867_167.35_37.628964.png,research/outputs/restoration/sam_p0/03_124_85_TZSITHMXHM_1_11_5_2_Bed_1_114.152023_22.27867_167.35_37.628964/sam_mask.png,1.0,1.0,1.0,1.0,0.0002849102020263672
100_56_SSPPWYPXPS_1_2_58_A_Bed_1_114.133656_22.285514_205.8096_59.74605,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/100_56_SSPPWYPXPS_1_2_58_A_Bed_1_114.133656_22.285514_205.8096_59.74605.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/100_56_SSPPWYPXPS_1_2_58_A_Bed_1_114.133656_22.285514_205.8096_59.74605.png,research/outputs/restoration/sam_p0/04_100_56_SSPPWYPXPS_1_2_58_A_Bed_1_114.133656_22.285514_205.8096_59.74605/sam_mask.png,0.0,0.0,1.0,1.0,-0.031134366989135742
112_49_SSPPWDPXPS_1_3_17_A_Bed_1_114.13391_22.285112_86.4546_56.279381,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/112_49_SSPPWDPXPS_1_3_17_A_Bed_1_114.13391_22.285112_86.4546_56.279381.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/112_49_SSPPWDPXPS_1_3_17_A_Bed_1_114.13391_22.285112_86.4546_56.279381.png,research/outputs/restoration/sam_p0/05_112_49_SSPPWDPXPS_1_3_17_A_Bed_1_114.13391_22.285112_86.4546_56.279381/sam_mask.png,0.0,0.0,1.0,1.0,-0.020285576581954956
124_60_TTLDZHIVHT_1_5_25_B_Bed_1_114.131881_22.28225_135.9_153.042437,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/124_60_TTLDZHIVHT_1_5_25_B_Bed_1_114.131881_22.28225_135.9_153.042437.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/124_60_TTLDZHIVHT_1_5_25_B_Bed_1_114.131881_22.28225_135.9_153.042437.png,research/outputs/restoration/sam_p0/06_124_60_TTLDZHIVHT_1_5_25_B_Bed_1_114.131881_22.28225_135.9_153.042437/sam_mask.png,0.0,0.0,1.0,1.0,-0.00955967977643013
525_78_TZIDZHMXHM_3_49_42_B_Bed_1_114.149338_22.280589_252.5074_26.130024,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/525_78_TZIDZHMXHM_3_49_42_B_Bed_1_114.149338_22.280589_252.5074_26.130024.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/525_78_TZIDZHMXHM_3_49_42_B_Bed_1_114.149338_22.280589_252.5074_26.130024.png,research/outputs/restoration/sam_p0/07_525_78_TZIDZHMXHM_3_49_42_B_Bed_1_114.149338_22.280589_252.5074_26.130024/sam_mask.png,0.0,0.0,1.0,1.0,-0.03312203288078308
203_11_SKBKBPEAPE_1_6_24_B_MBed_114.148949_22.2809_222.0286_29.797675,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/203_11_SKBKBPEAPE_1_6_24_B_MBed_114.148949_22.2809_222.0286_29.797675.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/203_11_SKBKBPEAPE_1_6_24_B_MBed_114.148949_22.2809_222.0286_29.797675.png,research/outputs/restoration/sam_p0/08_203_11_SKBKBPEAPE_1_6_24_B_MBed_114.148949_22.2809_222.0286_29.797675/sam_mask.png,0.0,0.0,1.0,1.0,-0.05129735916852951
134_11_SKBKBPEAPE_1_4_27_A_Bed_2_114.148876_22.280939_230.59_29.821748,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/images/134_11_SKBKBPEAPE_1_4_27_A_Bed_2_114.148876_22.280939_230.59_29.821748.png,research/assets/distortion_segmentation_annotation_dataset/for_segmentation/mask_for_sam/134_11_SKBKBPEAPE_1_4_27_A_Bed_2_114.148876_22.280939_230.59_29.821748.png,research/outputs/restoration/sam_p0/09_134_11_SKBKBPEAPE_1_4_27_A_Bed_2_114.148876_22.280939_230.59_29.821748/sam_mask.png,0.0,0.0,1.0,1.0,-0.04331717640161514
